Word Length,Number of Words,Time per Word,Time per Group,Time up to group (in days),Time per group (in days),Time up to group (in years)
1,28,5.21E-10,1.46E-08,1.69E-13,1.69E-13,4.62E-16
2,61,6.02E-09,3.67E-07,4.42E-12,4.25E-12,1.21E-14
3,611,6.96E-08,4.25E-05,4.96E-10,4.92E-10,1.36E-12
4,2038,8.04E-07,0.0016387,1.95E-08,1.90E-08,5.33E-11
5,3238,9.29E-06,0.030089,3.68E-07,3.48E-07,1.01E-09
6,4718,0.00010739,0.50669,6.23E-06,5.86E-06,1.71E-08
7,5472,0.0012412,6.7917,8.48E-05,7.86E-05,2.32E-07
8,5754,0.014344,82.537,0.0010401,0.00095529,2.85E-06
9,5588,0.16578,926.37,0.011762,0.010722,3.22E-05
10,4633,1.9159,8876.4,0.1145,0.10274,0.00031369
11,3453,22.142,76458,0.99943,0.88493,0.0027382
12,2422,255.9,6.20E+05,8.173,7.1736,0.022392
13,1546,2957.5,4.57E+06,61.093,52.92,0.16738
14,833,34180,2.85E+07,390.63,329.54,1.0702
15,452,3.95E+05,1.79E+08,2457.2,2066.5,6.732
16,220,4.57E+06,1.00E+09,14082,11625,38.58
17,107,5.28E+07,5.65E+09,79423,65341,217.6
18,32,6.10E+08,1.95E+10,3.05E+05,2.26E+05,836.34
19,20,7.05E+09,1.41E+11,1.94E+06,1.63E+06,5305.6
20,8,8.14E+10,6.52E+11,9.48E+06,7.54E+06,25967
21,2,9.41E+11,1.88E+12,3.13E+07,2.18E+07,85661
22,1,1.09E+13,1.09E+13,1.57E+08,1.26E+08,4.31E+05
23,1,1.26E+14,1.26E+14,1.61E+09,1.46E+09,4.42E+06
